children1,children2,children3,children4 (gene_ID)
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN5604.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN5672.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN5772.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN5907.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN5908.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN5975.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN6427.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN6900.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN7413.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN7459.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN7590.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN7639.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN7929.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN8113.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN8552.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN8689.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN8819.2
09100 Metabolism,09101 Carbohydrate metabolism,00051 Fructose and mannose metabolism [PATH:ani00051],AN9276.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN0022.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN0941.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN2017.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN2463.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN2638.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN2867.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN2951.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN3184.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN3201.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN3223.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN3432.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN3516.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN3837.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN4255.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN4591.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN4727.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN4828.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN4843.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN4957.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN6182.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN6388.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN7152.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN7345.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN7459.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN7624.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN8138.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN8392.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN8689.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN8953.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN9035.2
09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ani00052],AN9148.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN0554.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN0613.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN0836.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN1689.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN2860.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN3030.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN4054.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN4126.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN5361.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN5435.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN5985.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN8977.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN8985.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN9034.2
09100 Metabolism,09101 Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ani00053],AN9172.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN3380.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN3381.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN4294.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN4934.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN5704.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN6014.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN6126.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN6450.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN7489.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN7814.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN7815.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN7873.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN7880.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN8280.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN9401.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN9407.2
09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ani00061],AN9408.2
